Contexte gauche,Chaîne,Contexte droit
"ady markot somehow,'",', obser@ed the Sandma
o a desd certainty.',', @That seems hard on
"t seems hard on us,'",', observed tho Sandma
ly. @It's tho law 1','," exclaimed Ginger, t"
deli@ered up to us.',', IThe law seems made
"e for dog-fanciers,'",', remarked tha Tinkor
"s gi@cn to cruelty,'",'," pursucd Ginger, ``a"
s so@o on 'em doos.',', @And you're nlways 
"vants it, I s'pose7'",', inquired t@l Tinker
"@l Tinker. @Al@ays,'",', replied CGingcr. @N
"r. 'Ay, to be sure,'",', replied Ginger; ` s
ay to our customer.',', @Oh. t@atas how it'
atas how it's done?',', remarkcd tle Sanuma
"es, thnt's the vay,'",', replied Ginger. @So
arranges our plans.','," @Vell, yourn appear"
"oyment, I must say,'",', remarked thce Sandm
"man. @Perfectly so,'",', renlied Ginger. @No
t occur in my time.','," @Let's hopo not,'' "
"'' @Let's hopo not,'",', r@joined thoe otler
"om vich we started,'",', eaid thce Tinker ; 
occurred yesterday.',', @Walkler I'' exclai
erday.'' @Walkler I','," exclaimed Ginger, p"
"arf, but it's true,'",', replied the Tinker.
 younger'' @Humph l',', exclaimed Ginger. @
't look so old now.',', @That'a the cur'ous
"'ousest part of it,'",', sasid tho Tinker. @
"a days, @ad brew'd,'",', @P@hawI'' exclaimed
"d brew'd,'' @P@hawI'",', exclaimed Ginger. 4
fe'a story as that.',', @Let's have the old
"in and talk to him,'",', replied the Tinker.
"` Here, lazy-bones,'",'," he added, rousing t"
 Old Parr. The dwarf,',s @ead was much too 
y to laugh at him ?','," @Sartaiuly not, dep"
"taiuly not, deputy,'",', replied the Tinker.
"'-vater, all round,'",', Tho drowsy yonth be
"on. @I say, deputy,'",'," he observel, ' ve'v"
 can settle for ns.','," @WeIl, let's see,''"
"' @WeIl, let's see,'",', squeaked the dwnr@.
"lative to yo@r age,'",', rejoinel the Tinker
@Wen wos yo@ born 2','," @It's so lo@g ago, "
"I cnn't recollccet,'",'," returned Old Parr, "
anges in your time2',', res@@@@@@@@@@@@@@@@
"think I have-a few,'",'," replioel Old @arr, "
"f benutiful timber,'",', e My e@es1' cried G
"alking for a month,'",', pursued Old Parr. @
"os used for to ply,'",', chanted TIIE HAND A
noses out o' joint.','," @True,'' replied Ol"
" o' joint.'' @True,'",', replied Old Parr; '
ke to think of @em.','," @@ell, @@m oontent "
"th Lunnun as it is,'",'," repliod th@ Tinker,"
city bcin' rewi@ed.','," t Not much,'' repli"
"i@ed.'' t Not much,'",'," replied the dwarf, "
"se pretty creaters,'",'," said Ginger, raisin"
@What1 old Rowley ?',', crioed the dwnrf-' 
ption at his heels.',', @Old Rowley wos as 
" arter my own 'art,'",'," said Ginger, rising"
"ut him 2' eNot now,'",', renlied Old Purr. @
"s, altogether wunt.'",', @You talk like one 
"rly, penny-a-liars,'",', obser@ed Ginger. @B
"ved i' those times,'",', 4 If you had lived 
"ouses in Southwark,'",', replied Old Parr. @
e gono-cle@n gone 1','," '""Aceordin' to your"
"d and seventy @ear,'",'," said Gingcr, assumi"
o kick the bucket 2',', TEE IAND AND TRE CL
". 55 Not the least,'",', replied Old Parr. @
" a little impaired,'",'," @Not a little, I sh"
"le, I should think,'",'," replied Ginger, hem"
"ll, then-I haron't,'",', sai1 Ol@ Parr. .:z:
"red in those times,'",', s@id Ginger. @Very 
"nger. @Very l@kely,'",', replied Old Pare-' 
Pare-' very likely.',', There was something
"ty. e How comes it,'",'," he said, stretching"
" to give an answer,'",'," said Old Parr, some"
"elievo @ou, deputy,'",', obserrod the Tinker
o does tho Sandman.','," @well, then,'' repl"
"man.'' @well, then,'",'," replied tho dwarf, "
"@n@@@ @That's hard,'",', rejoined the Tinker
or li@in' so long 7','," he added, winking a"
"yon an explanation,'",', replied the dwarf. 
"friends to hear it,'",'," said the Tinker, in"
"o through it again,'",', rejoined the dwart.
d @xpper into gold.',', @@@@e known several
" secret, wenerable,'",', obser@ed Ginger. `'
' obser@ed Ginger. `,',And ve calls @em sma
ys-not halehemists.',', @Doetor Lamb's obje
"se metal into gold,'",'," rejoined Old Parr, "
d drunk the elixir.',', @Ah :-ah lI'' excla
"oon as he was gone,'",'," pursued the dwarf, "
nto strange places.',', @Exactly the case w
"e with the t'other,'",', whispered tha Tinke
 drank the 'lixir 1',', he inguired of the 
 rekileet his name1',', e No; it hass quite
" escaped my me@ory,'",', answered Old Parr. 
"t, if you heerd it7'",', asked tho Tinker. @
". @Perhaps I might,'",', returned the dwarf;
; @but I can't say.',', e Wos it Auriol Dar
s it Auriol Darcy 2',', demanded tho other.
" That was the name,'",'," eried Old Parr, sta"
"ot summat, at last,'",'," said the Tinker, wi"
"to know it, I say 7'",'," repeated the dwarf,"
"tion. e N@oer mind,'",', rejoined thoe Tinke
 the faet agin him.',', 4 Provo what2-and a
-and against whom 7',', cried tho dwarf@ @O
"tin, and @Tve done,'",', pnrsued tha Tinker.
"7' @No doubt of it,'",', repliod Old Parrg `
efore mo in dreams.',', @Shall ve let him i
ve let him into it?','," said the Tinker, co"
"a low tone. @Ay-ay,'",', replied the Sandman
". etter @ait a bit,'",'," remarkced Ginger, s"
 @Tlere's no hurry.',', e No; @e must decil
"st decile at vonce,'",', ssid the Tinker. @J
"samine them papers,'",'," he added, handing t"
here's a pretty gol','," cried Ginger, who, "
d than le expected.','," @D@oil or not, I'll"
have become of him?','," cried tha landlorl,"
that's tho questin1',', reioined tho Tinkor
ken a faney to him.',', @I only saw a hand 
" and a black cloak,'",', said the Sand@@@@@@
"ed a psir o' hoofs,'",', cried the waiter; @
"at glitterin' eyes,'",'," he ndled, opening h"
" as strango affair,'",', obscrved the landlo
ully for the night.','," @Vell, all's over @"
" over @ith him now,'",', aaid tha Tinker; ``
"r, too, I'm afeerd.'",', @Don't sny die jist
"t sny die jist yet,'",', rejoined Ginger. @T
n' here any longer.',', Conc@rring in which
T@E I@@nON-@@@@MEnCA,',s DAGHTEnR. A w@ER h
"@Yon look agitated,'",'," ho said, noticing E"
"ppened ' @Not much,'",'," she rcplied, a deep"
"rson near the gate,'",', @Indeed?'' cried Au
"he gate,'' @Indeed?'",'," cried Auriol, darti"
s he? I see no one.','," 2e Not a talil man,"
 long black cloak f','," rejoined Ebba, foll"
erson I allude to 1',', she rejoined. e I k
"ng his deseription,'",'," he replied, with a "
"ot to be forgotten,'",', said Ebba. IIe has 
re he possessed it.','," s Tis he, thero can"
"ro can be no doubt,'",'," rejoined Auriol, in"
" what is he, then 2'",', demanded Ebba. @He 
"a messenger of ill,'",'," replied Anriol, ` a"
hankful he is gone.',', @Are yon qaite sure
"e said. e I cannot,'",'," rejoined Anriol, so"
" preparo breakfast,'",', she replied. @My fu
 down by this time.',', @Stay:'' cried Auri
this time.'' @Stay:','," cried Auriol, arres"
ve a word with you.','," Ebba stopped, and t"
"few moments. @Ebba,'",', said Anriol at leng
her's honse to-day.',', @@hy so soon 7'' sl
y.'' @@hy so soon 7','," slo exclaimed, look"
rely recovered yet.',', @I dare not stay lo
"re not stay longer,'",', he said. @Dare not 
"you must r@ally go,'",'," said Ebba, looking "
hall see yon again7','," @MIost assuredly,''"
"' @MIost assuredly,'",', replied Auriol. @I 
r be able to repay.',', @My father is more 
"n saving your life,'",', she replied. ``I am
 are going so soon.',', 4 I have been here 
"e been here a week,'",', snid Auriol. @If I 
" able to go at all,'",', There was another p
" it at yonder door,'",'," @So there be, John,"
"@So there be, John,'",'," replied Ned, peepin"
ar their discoorse.','," e No, that ain't fa"
"o, that ain't fair,'",'," replied John, rakin"
"agreeable question,'",'," said Ebba, again ra"
ng of your history.',', AUIO. Forgive me if
"y with your desire,'",', replied Auriol. @Yo
" @You think me mad,'",', ssid Anriol; ` wonl
slightest sympathy.',', @You have some moti
" saying this to me,'",', eried the torrified
"i@e is to warn yon,'",', said Aneriol. t If 
 lost-utterly lostl',', She was so startled
"must ha@e no share,'",'," he said, in a solem"
my father's house t','," @he exclaimed, in a"
"it, then, too latet'",'," cried Anriol, despa"
" love you be futal,'",', sho rcjoinel. AURIO
 fulfil my dcstiny.',', At this juncture a 
 who frightened mel',', cried Ebba. @It is 
join you presently.','," And ss the girl, ha"
" you for some days,'",'," said the tall man, "
ppointment with me.','," @I could not,'' rep"
"me.'' @I could not,'",', replied Auriol-'' n
nt hss befallen me.','," 4I know it,'' rcjoi"
"n me.'' 4I know it,'",', rcjoined the other.
mmunicated with me.',', @It was my intentio
"intention to do so,'",', said Anriol. @Our m
"elayed mnch longer,'",', pursued the strange
tatae in Hyde Purk.','," ee I will be there,"
"be the next vietim,'",'," ssid the stranger, "
rim smile. @Peace 1',', thundered Anriol. t
"aintain your power,'",', rejoined the strang
le you further now.','," And, wrapping his c"
"ll see her no more,'",', And instead of retu
" could find repose,'",', @e murmured. @But i
eok for it in vain.',', Tho current of his 
ust be Flapdragon I',', exclaimed Anriol. @
@Ah 1 who calls me?',', cried the dwarf. @I
u not recollect me2',', @To be surel'' excl
 me2'' @To be surel',', exclaimed the dwarl
Master Flapdragon 7','," cried a bystander, "
"'s throat. @I have,'",', replied the little 
"s, by this person 7'",'," eried ]another, lay"
"Auriol. @By him-no,'",', said the dwarf; @I 
ly three eentnries.','," @Three centaries, m"
 little patriareh 7',', said the man who ha
 time. Think again.',', :It's perfeetly tru
"rue, neverthoeless,'",', replied the dwarf. 
" away by the water,'",', said the first spea
a drop more brandy.','," @Not a bit of it,''"
"' @Not a bit of it,'",', rejoined the dwarf;
fe by tho same tie.',', @How came you in th
hicli I found you 1','," demanded Auriol, e@"
"bont to be drowned,'",', replied the dwarf. 
 the attempt made 1',', inqnired Anriol. @I
"the villain's namo,'",'," rejoined the dwarf,"
a long black cloak.',', @@a l'' exclaimed A
lack cloak.'' @@a l',', exclaimed Auriol. e
"go, I should faney,'",'," replied the dwarf, "
"speak of this anon,'",', said Auriol. e W@II
he nearest tavern ?','," he added, placing m"
"s@ @wi@@ingly, sir,'",', replied the man. eI
the nearest pullie.',', @@@Tl join him ther
"m there in an honr,'",'," replied Auriol, mov"
"ting must be brief,'",', he said. tAre you p
nt do you require 2',', replied Auriol. @Po
"saw three days ago,'",', sail th@ other; @th
. She must be mine.',', t Noever 1'' cried 
 mine.'' t Noever 1','," cried Anriol, firml"
"ied Anriol, firmly-'",',ne@er 1' e Beware ho
e must be mine-or--',', e I defy yo@@n l''r
will ne@er consent.',', @Fool I'' eriel the
 consent.'' @Fool I','," eriel the other, se"
"ge conduet, to-day,'",', replied Anriol.@@@ 
"e was una@oidnable,'",', @To be sure; and I 
"good as to send me,'",', repliod MIr. Thorne
knowlelge the gift.',', @I could not give a
"ress at the moment,'",'," said Auriol. @@ell,"
" of your arm again,'",', obser@ed the iron-m
"rom bodily ailment,'",'," she replied, timidl"
" timidly. @I am so,'",'," replied Auriol, reg"
roubled yon again ?',', @What mysterious pe
mysterious person 2',', demanded Mr. Thorne
"Ne@er mind, father,'",', replied Ebba. @I sa
"saw him last night,'",', she added @o Auriol
"rt, he disappeared.'",'," @Ah, you ne@er told"
 you little rogne l',', cried MIr. Thorneyc
tleman to her@ eh 7',', he added to Auriol.
"ol. @No, I did not,'",'," replicd the other, "
gloomily. @Indeed 1',', exclaimed the iron-
e and dine with us.',', Auriol was about to
"t I will forego it,'",'," he said, offering h"
" of you, Mr. Da@ey,'",'," said Ebba. 'Oh, I h"
"grievre to hear it,'",', ho rejoined. @I hop
u had forgotten me.',', @I am sure you did 
"u did not think so,'",', she cried. As she s
" if I could, Ebbas,'",', he replied; `` but 
 us together again.','," @I am glad of it,''"
"' @I am glad of it,'",', she repliei; '` bec
ur recent accident.','," @Be not deceived, E"
"not deceived, Ebba,'",', cried Auriol. @I am
 window last night.',', @What of him?'' dem
ht.'' @What of him?','," demanded Ebba, with"
"ontrols my destiny,'",', replied Auriol. @Bu
s he to do with me1','," asked Ebba. @Much, "
" Ebba. @Much, much,'",'," he replied, with a "
"terrify me, Auriol,'",', sle rejoined. ITell
pretty littlo dog l','," cried Ebba, remarki"
"as coming from you,'",'," she replied, blushi"
 should be tempted.','," The dog-fancier, ho"
s gentle as a l@mb.',', e Oh l you little d
ou little darling I','," Ebba said, patting "
"faney to you, miss,'",', obserrel Ginger; ``
 have her a bargin.',', @What do you call a
"rgain, my good manf'",'," inquired Ebba, smil"
"e her to yo@, miss,'",', replied Ginger; ``y
' the likes o' you.',', @I hope you lidn't 
"much, t@en, friend,'",', repli@l E@@@. @I li
an' hc'll tell you.',', @But you hasen't an
"le l@@y's question,'",', sni@ Auriol. @What 
", sir, or for hor ?'",', inquired Ginger. e 
hat does it matter7','," cried Auriol, angri"
" A grcat deal, sir,'",', replied Ginger; @it
"young lady, twenty.'",', @@ut s@@@ose I bny 
or the yonng lady 7','," said A@riol. @Oh, t"
t the lower figuret',', replied Ginger. @I 
an to buy the dog ?',', interposed MIr@ Tho
"trous-preposterous,'",', te It msy appear so
"ear so to yon, sir,'",'," said Ginger, '"" bec"
"don't want to know,'",', re@liel Mr. Tuornoy
"y. @Eiglty guineas,'",', snid Ginger. @Eight
compared wi' Fairy.',', @Stuff-stuff@@ orie
"5G @It's no gammon,'",', said Ginger. `' Loo
@r at twenty pound.',', @She's a lovely lit
"e creatare, iudeed,'",'," ret@rned Ebba, agci"
uriol. e It'a him I',', @his@erel tho talle
' for-Auriol Darcy.',', @It seems lilce him
"It seems lilce him,'",'," said the other, edg"
etle more this @ay.','," @It's him, I tell y"
" tell you, S@ndman,'",', said tho Tinkecr. @
nal to our comrade.','," e V@II, I@Il toell "
"ou wot it is, miss,'",'," ssid Ginger, conxin"
rves a kind missns.','," Auriol, who had fal"
"re ssying, fellow 2'",'," @I @os a-sasyin', s"
"cio@s bargin it is,'",', replied Ginger. e W
". Here's the money,'",'," said Auriol, taking"
"no account, Auriol,'",'," cried Ebbs, quickly"
"oo much, Mr. Darey,'",', said Thorneycroft. 
'Auriol and Darcy l',', muttered Ginger. @C
"h, it's all right 1'",'," he adled, receiving"
"he look-out, I see.'",', @Give tho lady the 
"ako the money, man,'",'," said Auriol, sharpl"
". @Beg pardon, sir,'",'," said Ginger, '`but "
ecident in the @ay.',', 'Accident l-stuff a
stuff and nonsensel',', cried Mr. Thorneyar
", and don't buy it.'",', l- TE CIARLEs TRE B
"argain's concluded,'",'," said Ginger, delire"
"s treasure, Auriol?'",'," exclaimed Ebba, in "
"y entertain for me,'",'," he replied, in a lo"
"That is impossible,'",', she answered. @Well
"dri@e away at onco,'",', said Mr. Thorneyero
owed by the rascal.','," Bo saying, he got i"
" @Beg pasrdin, sir,'",'," said tho fellow, to"
"ol Darcy '' @It is,'",'," replied Auriol, reg"
. @Why do you ask 7',', e I vants a rord or
"te-that's all, sir,'",', replied the Tinker.
"ave to say at once,'",', rejoined Auriol. 4I
now nothing of you.',', @You'll know me bet
"ter by-and-by, sir,'",'," said the Tinker, in"
" to you, and alone.'",', @If yon don't go ab
"arge of the police,'",', eried Auriol. ----A
" sir-no@ you von't,'",'," repliod the Tinker,"
me to my knowledge.','," @won't you get in, "
"speask to this man,'",', replied Anriol. @@T
"en, farewell, Ebba.'",'," And, ns the coach d"
t ha@e you to say 7','," @Step this vay, sir"
"Step this vay, sir,'",', replied the Tinker.
into a back street.','," @@@@@vI@I @rE @ND, "
 you want with me 1',', demanded Anriol. mm
"l leasrn presently,'",', replied tho Tinker;
"ook has been found,'",', @AII' exclaimed Aur
" tho Vauxhall-road,'",', @Your pocket-book h
" found, I tell you,'",'," replied tho Tinkcr,"
s too good for @oul',', cried the Sandman; 
re sartin to sving.',', @I hope that pretty
be tle next wictim1',', said Ginger. @Peaee
aid Ginger. @Peaeet',', thundered Auriol. @
at do you requirc 2',', @A hundred pound ea
"ll bny our silence,'",', replied th@ Tinker.
"o ha@e double that,'",'," said tho Sandman, @"
t murder wholesale.',', e Ve don't commit m
"mmit murder at all,'",', said Ginger. @3ou m
"er. @3ou may faney,'",'," pnrsued the @inker,"
"nrsued the @inker, '",',tlat vo ain't perfec
"h a person, I say 7'",', Anriol gazed at him
are you inventing ?','," he said, at length."
"It is no idle tale,'",'," repliod thc Tinker,"
t-a li@in' sitness.',', @What witness?'' cr
s.'' @What witness?',', cried Auriol. @Don'
t of his great age.',', @@here is he l-what
has become of @im ?',', demanded Auriol. @O
"ce him in doo time,'",'," replied the Tinker,"
the poor fellow is1',', cried Auriol. @Ha@e
r no traces of him.',', @HIe@ll tarn up som
o mislest you more.',', @The pocket-book m@
" to me if I assent,'",'," ssid Anriol, ' and "
warl mnst be found.','," @@y, as to that, I "
"n scarcely promise,'",', replied the T@nker;
s@@@ssured o' that.','," @I must hare it, or"
"et nothing from me,'",', cried Auriol. @Here
"om the pocket-book,'",', said Ginger. t Woul
"Give me that paper,'",'," eried Auriol, risin"
allonI What's that2',', he cried. @The pape
The paper'as gone l',', @Tho hand again I' 
en the door-quick 1',', Ginger cautiously c
 do wi' the matter.',', @Poh1 poh1 don't be
 so chicken-'artedI',', cried tha Tinker. `
ree hundred pounds.',', 4 You seek to frigh
"e@in vain, villain,'",'," oried Auriol, upon "
hall overpower you.','," @Don't proroko lim,"
"@Don't proroko lim,'",'," whispered Ginger, p"
" @For my part, I sha",',n't stay any longer.
n't take kis money.',', And le quittcd the 
