gold_sent,ocr_sent,CER
"Immediately before him stood the Southwark Gateway—a square stone building, with a round,      embattled turret at each corner, and a flat leaden roof, planted with a forest of poles,      fifteen or sixteen feet high, garnished with human heads.","They were tho heads of two rank papists,'' replied Bualdred,  who were deeapitatel on ower Hill, on Saint Nicholas's day, three weeks ago, for conspiring against tha qucen.''",0.7317073170731707
"To his surprise, the doctor perceived      that two of these poles had just been overthrown by a tall man, who was in the act of stripping      them of their grisly burdens.","To his surprise, the doctor perceied thnt two of these poles had just been overthrown by a tall man, who was in the act of stripping thn of their grisly burdens.",0.08092485549132948
"Having accomplished his object, the mysterious plunderer thrust his spoil into a leathern bag      with which he was provided, tied its mouth, and was about to take his departure by means of a      rope-ladder attached to the battlements, when his retreat was suddenly cut off by the      gatekeeper, armed with a halberd, and bearing a lantern, who issued from a door opening upon      the leads.","Doubtless, the mntilatel remains which tho poor wretch has attempted to cnrry off, are those of his kindred, and horror at their exposure must have led him to commit tho offence.''",0.7506297229219143
"The baffled marauder looked round, and remarking the open window at which Doctor Lamb was      stationed, hurled the sack and its contents through it.","The baffled marauder looked round, and remarking the open winlow at which bDoctor Lnmb was stationed, hurledl the sacek and its contents tlrough it.",0.07333333333333333
"He then tried to gain the ladder, but      was intercepted by the gatekeeper, who dealt him a severe blow on the head with his halberd.","IIo then triodl to gain the ladder, but was intercepted by the gntckceper, who dealt him n svere blow on the head with his halberd.",0.1111111111111111
"The plunderer uttered a loud cry, and attempted to draw his sword; but before he could do so,      he received a thrust in the side from his opponent.","Tho plunderer uttered a loud cry, and attempted to draw his sword; but before he could do so, hoe received a thrust in the side from his opponent.",0.04666666666666667
"He then fell, and the gatekeeper would have      repeated the blow, if the doctor had not called to him to desist.","Ho thon fell, and the gatekeeper wonld hare repeated the blow, if tho doctor had not called to him to desist.",0.08771929824561403
"“Do not kill him, good Baldred,” he cried.","Do not kill him, good Baldred,'' he eried.",0.09523809523809523
“The attempt may not be so criminal as it appears.,Th attempt may not be so criminal as it appears.,0.04
"Doubtless, the mutilated remains which the poor wretch has attempted to carry off are those of      his kindred, and horror at their exposure must have led him to commit the offence.”     “It may be, doctor,” replied Baldred; “and if so I shall be sorry I have hurt him.","I ill do my part as gently as I can.'' And as tle alclemnist taok up the weapon, and disappeared thirough the window, the gatekceper liftel tho wounded man by te shoulders, and conveyed him down a narrow winding staircase to a lower chambcr.",0.7555555555555555
"But I am      responsible for the safe custody of these traitorous relics, and it is as much as my own head      is worth to permit their removal.”     “I know it,” replied Doctor Lamb; “and you are fully justified in what you have done.","They were tho heads of two rank papists,'' replied Bualdred,  who were deeapitatel on ower Hill, on Saint Nicholas's day, three weeks ago, for conspiring against tha qucen.''",0.759493670886076
"It may      throw some light upon the matter, to know whose miserable remains have been disturbed.”     “They were the heads of two rank papists,” replied Baldred, “who were decapitated on Tower      Hill, on Saint Nicholas’s Day, three weeks ago, for conspiring against the queen.”     “But their names?” demanded the doctor.","It may throw some light npon the matter, to know whose miserable remains ha been disturbel.''",0.7239263803680982
"“How were they called?”     “They were father and son,” replied Baldred—“Sir Simon Darcy and Master Reginald Darcy.","How were they called 7''  They wero father and son,'' replied Baldred ;-: Sir Simon Darey and Master Reginald Darey.",0.14782608695652175
"Perchance they were known to your worship?”     “Too well—too well!” replied Doctor Lamb, in a voice of emotion that startled his hearer.","Perchanea tey were known to your worship 7'' e Too well-too well 1'' repliel Doctor Lamb, in a voice of emotion, that startled his hcarcr.",0.13138686131386862
“They were near kinsmen of mine own.,"Fling me the wcapon with which you smoto lim,'' ericd Doctor Lamb, in accents of commiseration, `'`and I ill anoint it ith the powder of sympathy.",3.361111111111111
"What is he like who has made this strange attempt?”     “Of a verity, a fair youth,” replied Baldred, holding down the lantern.","Wht is he lilo wlo has mado tlis strange attempt ''  Of a rerity, a fair youth,'' rcplie1 Daldrcd, lolding down the lantern.",0.14960629921259844
“Heaven grant I have      not wounded him to the death!,"Ieaen grant I lao not wounded im to the death1 No, his heart still bcats.",0.7272727272727273
"No, his heart still beats.","IIa1 hera ar his tablets,'' ho adled, taking a small book from his loublet; `' these may gie tho information you seek.",3.8076923076923075
Ha!,e But their names?'',6.333333333333333
"here are his tablets,” he added,      taking a small book from his doublet; “these may give the information you seek.","Use despatch, I pray you.'' As the gatekceper essayed to coply, the wonnded man groanel deeply, as if in great pain.",0.8205128205128205
"You were right      in your conjecture, doctor.","I ill do my part as gently as I can.'' And as tle alclemnist taok up the weapon, and disappeared thirough the window, the gatekceper liftel tho wounded man by te shoulders, and conveyed him down a narrow winding staircase to a lower chambcr.",4.340425531914893
"The name herein inscribed is the same as that borne by the      others—Auriol Darcy.”     “I see it all,” cried Lamb.","Tho doctor passes for a cunning ma, but if he cnn cure this poor youth without sceing him, by tho help of his sympathetic ointment, I shall begin to believe, what some folks aouch, that he has relations with the levil.'",1.4017094017094016
“It was a pious and praiseworthy deed.,"Though ho proccedd carefully, the sufferer was put to excraciating pain; nnl when Daldred placed him en a wooden bench, and held DB.",2.789473684210526
"Bring the unfortunate      youth to my dwelling, Baldred, and you shall be well rewarded.","DBring the unfortunate youth to my dwelling, Daldred, and you shall be well rcwardel.",0.10112359550561797
"Use despatch, I pray you.”     As the gatekeeper essayed to comply, the wounded man groaned deeply, as if in great pain.","Use despatch, I pray you.'' As the gatekceper essayed to coply, the wonnded man groanel deeply, as if in great pain.",0.075
"“Fling me the weapon with which you smote him,” cried Doctor Lamb, in accents of      commiseration, “and I will anoint it with the powder of sympathy.","Fling me the wcapon with which you smoto lim,'' ericd Doctor Lamb, in accents of commiseration, `'`and I ill anoint it ith the powder of sympathy.",0.11920529801324503
"His anguish will be speedily      abated.”     “I know your worship can accomplish wonders,” cried Baldred, throwing the halberd into the      balcony.","eI kow your worship can accomplish onlers,'' oried aldred, tlrowing the halberd into the baleony.",0.40397350993377484
"“I will do my part as gently as I can.”     And as the alchemist took up the weapon, and disappeared through the window, the gatekeeper      lifted the wounded man by the shoulders, and conveyed him down a narrow, winding staircase to a      lower chamber.","Now that the countenance of tho yonth had regained its original expression, the gatekeeper could not help being struek hy its extreme beanty.",0.72265625
"Though he proceeded carefully, the sufferer was put to excruciating pain; and      when Baldred placed him on a wooden bench, and held a lamp towards him, he perceived that his      features were darkened and distorted.","a lsmp towards him, he perceied that his features wera darkened and distorted.",0.6529680365296804
"“I fear it’s all over with him,” murmured the gatekeeper; “I shall have a dead body to take      to Doctor Lamb.","I fenr it's all over with lim,'' mnrmured the gatekeeper; eI hall hae a dead body to take to Doctor Lamb.",0.13392857142857142
"It would be a charity to knock him on the head, rather than let him suffer      thus.","It wonld bo a charity to knoek him on the head, rather thn let him suffer thus.",0.10588235294117647
"The doctor passes for a cunning man, but if he can cure this poor youth without seeing      him, by the help of his sympathetic ointment, I shall begin to believe, what some folks avouch,      that he has relations with the devil.”     While Baldred was ruminating in this manner, a sudden and extraordinary change took place in      the sufferer.","Let me remain in this state if you have any pity-or despatch me, for my late ngony was almost insupportable,''  You are cnred for by one who hns greater skill than any chirurgeon in London,'' replied Buldred.",0.7262247838616714
"As if by magic, the contraction of the muscles subsided; the features assumed a      wholesome hue, and the respiration was no longer laborious.","All at once, and with nas much suddenness as his cure had bcen effected, the young man started, uttering a pierciug ery, and placed his hand to his sido.",0.8402777777777778
Baldred stared as if a miracle had      been wrought.,"What hao you done to me1'' ho asked, with a look of gratitudo; ` tlo torture of my wound has suddenly ceased, and I feel ass if a bnlm had been dropped into it.",2.358490566037736
"Now that the countenance of the youth had regained its original expression, the gatekeeper      could not help being struck by its extreme beauty.","Now that the countenance of tho yonth had regained its original expression, the gatekeeper could not help being struek hy its extreme beanty.",0.0684931506849315
"The face was a perfect oval, with regular      and delicate features.","The fuce was a pcrfect oal, with regular and delicate featurces.",0.13043478260869565
"A short silken moustache covered the upper lip, which was short and      proud, and a pointed beard terminated the chin.","A short silken moustache covered the uppcr lip, which was short and prul, and a pointedl bearl terminated the chin.",0.08333333333333333
"The hair was black, glossy, and cut short, so      as to disclose a highly intellectual expanse of brow.","The hair was blacl, glossy, and cut short, so as to lisclose a highly intellectnal cxpanse of brow.",0.08653846153846154
"The youth’s figure was slight, but admirably proportioned.","Tho youtl's figure was slight, but atmirably proportioned.",0.06896551724137931
"His attire consisted of a black      satin doublet, slashed with white, hose of black silk, and a short velvet mantle.","His attire consisted of a blaek satin doublet, slashed with white, hose of black silk, and a slort velet mantle.",0.06779661016949153
"His eyes were      still closed, and it was difficult to say what effect they might give to the face when they      lighted it up; but notwithstanding its beauty, it was impossible not to admit that a strange,      sinister, and almost demoniacal expression pervaded the countenance.","notwithstanding its beauty, it was impossible not to admit that a strange, sinister, and almost demoniacal expression peraded the conntenance.",0.5017667844522968
"All at once, and with as much suddenness as his cure had been effected, the young man      started, uttering a piercing cry, and placed his hand to his side.","His eyes were still closed, and it was difficult to say what effect they might gie to the face when they lighted it np; but AU10L.",0.7133757961783439
"“Caitiff!” he cried, fixing his blazing eyes on the gatekeeper, “why do you torture me thus?","Let me remain in this state if you have any pity-or despatch me, for my late ngony was almost insupportable,''  You are cnred for by one who hns greater skill than any chirurgeon in London,'' replied Buldred.",1.7717391304347827
"Finish me at once—Oh!”     And overcome by anguish, he sank back again.","Baldred tapped against it, and tho summons was instantly aswered by a diminutive personage, clad in a jerkin of coarse grey serge, and having a leathern apron ticd round his waist.",1.9859154929577465
"“I have not touched you, sir,” replied Baldred.","By tho wuy, the doctor declares he is your kinsman,''  It is the first I ever heard of lim,' replied Auriol, fuintly; ""but take me to him quickly, or it will bo too late'' In another moment they were at the doetor's door.",3.978723404255319
“I brought you here to succour you. You will      be easier anon.,"What hao you done to me1'' ho asked, with a look of gratitudo; ` tlo torture of my wound has suddenly ceased, and I feel ass if a bnlm had been dropped into it.",1.876923076923077
"Doctor Lamb must have wiped the halberd,” he added to himself.","Doctor Lamb's dwelling is but a step from the gateway-in fact, the first house on the bridge.",1.0
Another sudden change.,"e Do not delay, then,'' repliel Ariol, fsintly;  fo though I am free from pain, I feel that my life is ebbing fast away.''",4.7727272727272725
"The pain fled from the sufferer’s countenance, and he became easy as      before.","Tho pain led from the sufferer's countenance, and he became easy ae before.",0.1111111111111111
"“What have you done to me?” he asked, with a look of gratitude; “the torture of my wound has      suddenly ceased, and I feel as if a balm had been dropped into it.","I obeyed him; rubbed the steel point, first on one side, then on the other; next wiped it; and then smearedl it again.''",0.7317073170731707
"Let me remain in this state      if you have any pity—or despatch me, for my late agony was almost insupportable.”     “You are cared for by one who has greater skill than any chirurgeon in London,” replied      Baldred.","Blear-eyed, smoke- begrimel, lantern-javed, the poor dwarf seemed as if his whole life had been spent over the furnace.",0.7727272727272727
"“If I can manage to transport you to his lodgings, he will speedily heal your      wounds.”     “Do not delay, then,” replied Auriol faintly; “for though I am free from pain, I feel that my      life is ebbing fast away.”     “Press this handkerchief to your side, and lean on me,” said Baldred.","If I cnn manage to transport you to his lodgings, he will speelily heal your wounds.''",0.7220338983050848
"“Doctor Lamb’s dwelling      is but a step from the gateway—in fact, the first house on the bridge.","Whereby you put the patient to exquisite pain,'' replied Baldred; ` but help me to transport him to the laboratory.''",0.898989898989899
"By the way, the doctor      declares he is your kinsman.”     “It is the first I ever heard of him,” replied Auriol faintly; “but take me to him quickly,      or it will be too late.”     In another moment they were at the doctor’s door.","Casting a furtire glance round the laboratory, anl shrugging his slonllers, Baldrel departed; and FInpdragon laing bathed tho sufferer's temples with the decoction, in obelience to his mastcr's injunctions, turned to inquirs wht he should do next.",0.8143459915611815
"Baldred tapped against it, and the summons      was instantly answered by a diminutive personage, clad in a jerkin of coarse grey serge, and      having a leathern apron tied round his waist.","Doctor Lamb was plying the bellows at tha furnace, on wlich a large alembic was placel, and he was so engrossel by his task, that le scnrccly noticed the entrance of the others.",0.7539267015706806
This was Flapdragon.,"eI know not if thoe doctor will care to be disturbod,'' said Flapdragon.",2.75
"Blear-eyed, smoke-begrimed, lantern-jawed, the poor dwarf seemed as if his whole life had      been spent over the furnace.","Sce, he las fainted alrealy I'' Thus urged, the dwarf laid down tho halberd, and botween the to, Aunriol was speedily conveyed up a wide oaken staircase to the laboratory.",1.0
"And so, in fact, it had been.","Theso relics, doctor,'' criedi the gatekeeer, glancing at the bag, which was lying on the ground, and from wiich a bald head protruded-I ought to take them back with me.''",5.137931034482759
He had become little better than a      pair of human bellows.,"I obeyed him; rubbed the steel point, first on one side, then on the other; next wiped it; and then smearedl it again.''",1.403225806451613
In his hand he held the halberd with which Auriol had been wounded.,In his hand he hcld the halberd with which Auriol had been wounded.,0.014925373134328358
"“So you have been playing the leech, Flapdragon, eh?” cried Baldred.","So you hae been plasying the lcech, Flapdragon, eh7'' cried Baldred.",0.10294117647058823
"“Ay, marry have I,” replied the dwarf, with a wild grin, and displaying a wolfish set of      teeth.","Ay, marry laro I,'' replied the dwarl, with a wild grin, nd displaying na wolfish set of teeth. '",0.16
“My master ordered me to smear the halberd with the sympathetic ointment.,My master ordered me to smear the halberd with the sympathetic oiutment.,0.0273972602739726
"I obeyed him:      rubbed the steel point, first on one side, then on the other; next wiped it; and then smeared      it again.”     “Whereby you put the patient to exquisite pain,” replied Baldred; “but help me to transport      him to the laboratory.”     “I know not if the doctor will care to be disturbed,” said Flapdragon.","Whereby you put the patient to exquisite pain,'' replied Baldred; ` but help me to transport him to the laboratory.''",0.6676829268292683
"“He is busily engaged      on a grand operation.”     “I will take the risk on myself,” said Baldred.","Casting a furtire glance round the laboratory, anl shrugging his slonllers, Baldrel departed; and FInpdragon laing bathed tho sufferer's temples with the decoction, in obelience to his mastcr's injunctions, turned to inquirs wht he should do next.",1.9108910891089108
“The youth will die if he remains here.,"Revied by the stimulant, Anriol presently opened his eyes, and gazing round the room, tlought he must be dreaming, so strange and fantastical did all appear.",3.2564102564102564
"See,      he has fainted already!”     Thus urged, the dwarf laid down the halberd, and between the two, Auriol was speedily      conveyed up a wide oaken staircase to the laboratory.","On a table, at the farther end of tle room, stood n large open volume, with parchment leaves, covered with cabalistical characters, refcrring to the names of spirits.",0.7704918032786885
"Doctor Lamb was plying the bellows at the      furnace, on which a large alembic was placed, and he was so engrossed by his task that he      scarcely noticed the entrance of the others.","Doctor Lamb then applied himsolf to his task with reneved ardour, and in a few seconds became wlolly inscnsible of the presence of a stranger.",0.6505376344086021
"“Place the youth on the ground, and rear his head against the chair,” he cried, hastily, to      the dwarf.","Theso relics, doctor,'' criedi the gatekeeer, glancing at the bag, which was lying on the ground, and from wiich a bald head protruded-I ought to take them back with me.''",1.1401869158878504
“Bathe his brows with the decoction in that crucible.,"The floor was coered with the implements nsed by the adeptbolt-heads, crucibles, cucnrbites, and retorts, scattered abont without any attempt at arrangement.",2.339622641509434
I will attend to him anon.,I will attend to him anon.,0.0
"Come to me on the morrow, Baldred, and I will repay thee for thy trouble.","Come to me on the morrow, Ballred, and I ill repay thee for thy trouble.",0.0273972602739726
"I am busy now.”     “These relics, doctor,” cried the gatekeeper, glancing at the bag, which was lying on the      ground, and from which a bald head protruded—“I ought to take them back with me.”     “Heed them not—they will be safe in my keeping,” cried Doctor Lamb impatiently;      “to-morrow—to-morrow.”     Casting a furtive glance round the laboratory, and shrugging his shoulders, Baldred departed;      and Flapdragon having bathed the sufferer’s temples with the decoction, in obedience to his      master’s injunctions, turned to inquire what he should do next.","Arond it, were as ram's horn, a pair of forceps, a roll of parchment, a pestle anl mortar, and a large plato of copper, graen with the mysterious smbols of the Isaicnl table.",0.8024475524475524
"“Begone!” cried the doctor, so fiercely that the dwarf darted out of the room, clapping the      door after him.","Degonel'' cried the doctor, so fioreoel that tho dwarf darted out of the room, clapping tha door after him.",0.14285714285714285
"Doctor Lamb then applied himself to his task with renewed ardour, and in a few seconds became      wholly insensible of the presence of a stranger.","Ncnar it were two parchment scrolls, wvritten in letters, respectively denominated by the Challaie sages, '` the Malachim,'' and ` the Passing of the River.''",0.8163265306122449
"Revived by the stimulant, Auriol presently opened his eyes, and gazing round the room,      thought he must be dreaming, so strange and fantastical did all appear.","The gourd-shaped cucnurbites wero transformed into great bloated tonds bursting with venom; tle longnecked bolt-heade became monstrous serpents; the wormlike pipes turned into adders; the alembics looked like plumed helmets; the characters on the Isaical table, and those on the parchments, scemel traced in fire, and to be over changing; the sa-monster bellowed and roarced, and, flapping his fins, tried to burst irom lis look; the skeletons wagged their jas, and raised their fleshless fingers in mockery, while blue lights burnt in their eyeless soekets; the bellows became a prodigious bat fanning the fire with  DnB.",3.1104294478527605
"The floor was covered      with the implements used by the adept—bolt-heads, crucibles, cucurbites, and retorts, scattered      about without any attempt at arrangement.","Within the room were two skeletons, one of which, placed behind a curtain in the deep embrasure of the window, where its polished bones glistened in the whito moonlight, had a horriblo effect.",0.8106508875739645
"In one corner was a large terrestrial sphere: near it      was an astrolabe, and near that a heap of disused glass vessels.","Ncnar it were two parchment scrolls, wvritten in letters, respectively denominated by the Challaie sages, '` the Malachim,'' and ` the Passing of the River.''",0.967479674796748
"On the other side lay a black,      mysterious-looking book, fastened with brazen clasps.","On a table, at the farther end of tle room, stood n large open volume, with parchment leaves, covered with cabalistical characters, refcrring to the names of spirits.",1.348314606741573
"Around it were a ram’s horn, a pair of      forceps, a roll of parchment, a pestle and mortar, and a large plate of copper, graven with the      mysterious symbols of the Isaical table.","The chimney-piece, which was curiously cared, and projected far inlo the room, mas laden with various implements of Hermetie science.",0.7243243243243244
"Near this was the leathern bag containing the two      decapitated heads, one of which had burst forth.","Tua fireplace was oceupied by thoe furnace, on which, as has been stated, was placed an alembic, communicating by means of a long serpentine pipe with a receier.",1.145631067961165
"On a table at the farther end of the room,      stood a large open volume, with parchment leaves, covered with cabalistical characters,      referring to the names of spirits.","The other enjoyed more comfortalle quarters near the chimney, its leshless feet dangling down in the smoka arising from the furnace.",0.7257142857142858
"Near it were two parchment scrolls, written in letters,      respectively denominated by the Chaldaic sages, “the Malachim,” and “the Passing of the River.”      One of these scrolls was kept in its place by a skull.","From the eciling depended a huge scaly sea-monster, with outspreal fins, open jaws, garnishel with tremendous teeth, and great goggling eyes.",0.7407407407407407
"An ancient and grotesque-looking brass      lamp, with two snake-headed burners, lighted the room.","An ancient and grotesquc-looking brass lamp, with two snake-healed burners, lighted th room.",0.08163265306122448
"From the ceiling depended a huge scaly      sea-monster, with outspread fins, open jaws garnished with tremendous teeth, and great goggling      eyes.","Doctor Lamb, meanwhile, steadily pursned his task, though he ever and anon paused, to fling certain roots and drugs upon the clarcoal.",0.7533333333333333
Near it hung a celestial sphere.,Near it hung a celestial sphere.,0.0
"The chimney-piece, which was curiously carved, and      projected far into the room, was laden with various implements of hermetic science.","The gourd-shaped cucnurbites wero transformed into great bloated tonds bursting with venom; tle longnecked bolt-heade became monstrous serpents; the wormlike pipes turned into adders; the alembics looked like plumed helmets; the characters on the Isaical table, and those on the parchments, scemel traced in fire, and to be over changing; the sa-monster bellowed and roarced, and, flapping his fins, tried to burst irom lis look; the skeletons wagged their jas, and raised their fleshless fingers in mockery, while blue lights burnt in their eyeless soekets; the bellows became a prodigious bat fanning the fire with  DnB.",3.741007194244604
"Above it      were hung dried bats and flitter-mice, interspersed with the skulls of birds and apes.","Composed of the lunar stones, the solar stones, and the mercurial stones-preparetd according to the instructions of the Ruabbi Ben Lucca,-namely, by the separation of the pure from the impure, the volatilisation of the fixed, and the fixing of the olatile; this elixir shall renew my youth, like that of the eagle, and give me length of days greater than any patriarch ever enjoyed.''",3.16
"Attached      to the chimney-piece was a horary, sculptured in stone, near which hung a large starfish.","thought1 Ia1 I bethink me, the rabbi said there was one peril against whieh the elixir could not guard me-one vulnerable point, by which, like the heel of Achilles, death might reach me1 What is i 1-where can it lie7'' And he relapsed into deep thought.",1.912621359223301
"The      fireplace was occupied by the furnace, on which, as has been stated, was placed an alembic,      communicating by means of a long serpentine pipe with a receiver.","Suddenly, he was roused by a loud joyful cry, and, uncovering his eyes, he behoeld Doctor Lamb pouring the contecnts of the matrass-a bright, transparent liquid-into a small phial.",0.8128654970760234
"Within the room were two      skeletons, one of which, placed behind a curtain in the deep embrasure of the window, where its      polished bones glistened in the white moonlight, had a horrible effect.","With the birth of tle centary now expiring I first sasw light, and the draught I hold in my hand shiall enable me to see the opening of centuries and centuries to coe.",0.7128712871287128
"The other enjoyed more      comfortable quarters near the chimney, its fleshless feet dangling down in the smoke arising      from the furnace.","To live for eer1'' he cried, after a pause-`` to escape the jaws of death just when they are opening to deour me 1-to he free from all aecidents 1-'tis a glorious  14 AIIOL.",0.8881118881118881
