Contexte gauche,Chaîne,Transcription,Contexte droit
n't look so old now.,”,',' @That'a the cur'ou
"r'ousest part of it,",”,',' sasid tho Tinker. 
ife'a story as that.,”,',' @Let's have the ol
" in and talk to him,",”,',' replied the Tinker
" ` Here, lazy-bones,",”,',"' he added, rousing "
ly to laugh at him ?,”,',"' @Sartaiuly not, de"
"rtaiuly not, deputy,",”,',' replied the Tinker
"ion. @I say, deputy,",”,',"' he observel, ' ve'"
u can settle for ns.,”,',"' @WeIl, let's see,'"
"'' @WeIl, let's see,",”,',' squeaked the dwnr@
"elative to yo@r age,",”,',' rejoinel the Tinke
" I cnn't recollccet,",”,',"' returned Old Parr,"
" think I have-a few,",”,',"' replioel Old @arr,"
"talking for a month,",”,',' pursued Old Parr. 
"wos used for to ply,",”,',' chanted TIIE HAND 
 noses out o' joint.,”,',"' @True,'' replied O"
"t o' joint.'' @True,",”,',' replied Old Parr; 
ike to think of @em.,”,',"' @@ell, @@m oontent"
"ith Lunnun as it is,",”,',' repliod th@ Tinker
 city bcin' rewi@ed.,”,',"' t Not much,'' repl"
"wi@ed.'' t Not much,",”,',"' replied the dwarf,"
"ese pretty creaters,",”,',"' said Ginger, raisi"
 @What1 old Rowley ?,”,',' crioed the dwnrf-'
iption at his heels.,”,',' @Old Rowley wos as
"g arter my own 'art,",”,',"' said Ginger, risin"
"out him 2' eNot now,",”,',' renlied Old Purr. 
"us, altogether wunt.",”,',' @You talk like one
"erly, penny-a-liars,",”,',' obser@ed Ginger. @
"houses in Southwark,",”,',' replied Old Parr. 
"ed and seventy @ear,",”,',"' said Gingcr, assum"
"K. 55 Not the least,",”,',' replied Old Parr. 
"tle, I should think,",”,',"' replied Ginger, he"
"ell, then-I haron't,",”,',' sai1 Ol@ Parr. .:z
"vred in those times,",”,',' s@id Ginger. @Very
"inger. @Very l@kely,",”,',' replied Old Pare-'
 Pare-' very likely.,”,',' There was somethin
"ity. e How comes it,",”,',"' he said, stretchin"
"s to give an answer,",”,',"' said Old Parr, som"
"believo @ou, deputy,",”,',' obserrod the Tinke
so does tho Sandman.,”,',"' @well, then,'' rep"
"dman.'' @well, then,",”,',"' replied tho dwarf,"
"@@n@@@ @That's hard,",”,',' rejoined the Tinke
" yon an explanation,",”,',' replied the dwarf.
" friends to hear it,",”,',"' said the Tinker, i"
"go through it again,",”,',' rejoined the dwart
nd @xpper into gold.,”,',' @@@@e known severa
"t secret, wenerable,",”,',' obser@ed Ginger. `
ays-not halehemists.,”,',' @Doetor Lamb's obj
"ase metal into gold,",”,',"' rejoined Old Parr,"
ad drunk the elixir.,”,',' @Ah :-ah lI'' excl
"soon as he was gone,",”,',"' pursued the dwarf,"
into strange places.,”,',' @Exactly the case 
"se with the t'other,",”,',' whispered tha Tink
"e escaped my me@ory,",”,',' answered Old Parr.
"r. @Perhaps I might,",”,',' returned the dwarf
f; @but I can't say.,”,',' e Wos it Auriol Da
"4 That was the name,",”,',"' eried Old Parr, st"
"got summat, at last,",”,',"' said the Tinker, w"
"ation. e N@oer mind,",”,',' rejoined thoe Tink
e the faet agin him.,”,',' 4 Provo what2-and 
"stin, and @Tve done,",”,',' pnrsued tha Tinker
" 7' @No doubt of it,",”,',' repliod Old Parrg 
before mo in dreams.,”,',' @Shall ve let him 
 ve let him into it?,”,',"' said the Tinker, c"
" a low tone. @Ay-ay,",”,',' replied the Sandma
"L. etter @ait a bit,",”,',"' remarkced Ginger, "
. @Tlere's no hurry.,”,',' e No; @e must deci
"ust decile at vonce,",”,',' ssid the Tinker. @
"xsamine them papers,",”,',"' he added, handing "
your opinion on 'em.,”,','. The dwarf was abo
nd than le expected.,”,',"' @D@oil or not, I'l"
 have become of him?,”,',' cried tha landlorl
aken a faney to him.,”,',' @I only saw a hand
"d and a black cloak,",”,',' said the Sand@@@@@
"eed a psir o' hoofs,",”,',' cried the waiter; 
"eat glitterin' eyes,",”,',"' he ndled, opening "
"s as strango affair,",”,',' obscrved the landl
fully for the night.,”,',"' @Vell, all's over "
"s over @ith him now,",”,',' aaid tha Tinker; `
"ir, too, I'm afeerd.",”,',' @Don't sny die jis
"'t sny die jist yet,",”,',' rejoined Ginger. @
in' here any longer.,”,',' Conc@rring in whic
" @Yon look agitated,",”,',"' ho said, noticing "
"appened ' @Not much,",”,',"' she rcplied, a dee"
is he? I see no one.,”,',' 2e Not a talil man
"ing his deseription,",”,',"' he replied, with a"
"not to be forgotten,",”,',' said Ebba. IIe has
ure he possessed it.,”,',"' s Tis he, thero ca"
"ero can be no doubt,",”,',"' rejoined Auriol, i"
" a messenger of ill,",”,',"' replied Anriol, ` "
thankful he is gone.,”,',' @Are yon qaite sur
"he said. e I cannot,",”,',"' rejoined Anriol, s"
"d preparo breakfast,",”,',' she replied. @My f
e down by this time.,”,',' @Stay:'' cried Aur
ave a word with you.,”,',"' Ebba stopped, and "
" few moments. @Ebba,",”,',' said Anriol at len
ther's honse to-day.,”,',' @@hy so soon 7'' s
irely recovered yet.,”,',' @I dare not stay l
"are not stay longer,",”,',' he said. @Dare not
" you must r@ally go,",”,',"' said Ebba, looking"
"'' @MIost assuredly,",”,',' replied Auriol. @I
er be able to repay.,”,',' @My father is more
"in saving your life,",”,',' she replied. ``I a
u are going so soon.,”,',' 4 I have been here
"ve been here a week,",”,',' snid Auriol. @If I
" @So there be, John,",”,',"' replied Ned, peepi"
ear their discoorse.,”,',"' e No, that ain't f"
"No, that ain't fair,",”,',"' replied John, raki"
"sagreeable question,",”,',"' said Ebba, again r"
ing of your history.,”,',' AUIO. Forgive me i
"ly with your desire,",”,',' replied Auriol. @Y
 bind me to silence.,”,', Ebba gazed at him a
". @You think me mad,",”,',' ssid Anriol; ` won
 slightest sympathy.,”,',' @You have some mot
"n saying this to me,",”,',' eried the torrifie
"ti@e is to warn yon,",”,',' said Aneriol. t If
" must ha@e no share,",”,',"' he said, in a sole"
"o love you be futal,",”,',' sho rcjoinel. AURI
t fulfil my dcstiny.,”,',' At this juncture a
 join you presently.,”,',"' And ss the girl, h"
"t you for some days,",”,',"' said the tall man,"
appointment with me.,”,',"' @I could not,'' re"
" me.'' @I could not,",”,',' replied Auriol-'' 
ent hss befallen me.,”,',"' 4I know it,'' rcjo"
"en me.'' 4I know it,",”,',' rcjoined the other
ommunicated with me.,”,',' @It was my intenti
" intention to do so,",”,',' said Anriol. @Our 
"delayed mnch longer,",”,',' pursued the strang
statae in Hyde Purk.,”,',' ee I will be there
" ee I will be there,",”,', replied Auriol. TRE
" be the next vietim,",”,',"' ssid the stranger,"
"maintain your power,",”,',' rejoined the stran
ble you further now.,”,',"' And, wrapping his "
"I could find repose,",”,',' @e murmured. @But 
seok for it in vain.,”,',' Tho current of his
singularly striking@,”,', Auriol's exelamatio
 @Ah 1 who calls me?,”,',' cried the dwarf. @
"f's throat. @I have,",”,',' replied the little
" Auriol. @By him-no,",”,',' said the dwarf; @I
rly three eentnries.,”,',"' @Three centaries, "
g time. Think again.,”,',' :It's perfeetly tr
"true, neverthoeless,",”,',' replied the dwarf.
"d away by the water,",”,',' said the first spe
 a drop more brandy.,”,',"' @Not a bit of it,'"
"'' @Not a bit of it,",”,',' rejoined the dwarf
"At last we have met,",”,'," he oontinued, addre"
ife by tho same tie.,”,',' @How came you in t
"abont to be drowned,",”,',' replied the dwarf.
" the villain's namo,",”,',' rejoined the dwarf
 a long black cloak.,”,',' @@a l'' exclaimed 
"ago, I should faney,",”,',"' replied the dwarf,"
"angh, but it's true@",”,'," eried the dvarf, an"
" speak of this anon,",”,',' said Auriol. e W@I
the nearest tavern ?,”,',"' he added, placing "
"@s@ @wi@@ingly, sir,",”,',' replied the man. e
 the nearest pullie.,”,',' @@@Tl join him the
"im there in an honr,",”,',"' replied Auriol, mo"
"eting must be brief,",”,',' he said. tAre you 
" saw three days ago,",”,',' sail th@ other; @t
n. She must be mine.,”,',' t Noever 1'' cried
 will ne@er consent.,”,',' @Fool I'' eriel th
"nge conduet, to-day,",”,',' replied Anriol.@@@
" good as to send me,",”,',' repliod MIr. Thorn
cknowlelge the gift.,”,',' @I could not give 
"dress at the moment,",”,',' said Auriol. @@ell
"e of your arm again,",”,',' obser@ed the iron-
"do yo@ think, @bba ?",”,', 4 MI. Darey looks a
"from bodily ailment,",”,',"' she replied, timid"
", timidly. @I am so,",”,',"' replied Auriol, re"
troubled yon again ?,”,',' @What mysterious p
"@Ne@er mind, father,",”,',' replied Ebba. @I s
" saw him last night,",”,',' she added @o Aurio
"art, he disappeared.",”,',"' @Ah, you ne@er tol"
"iol. @No, I did not,",”,',"' replicd the other,"
me and dine with us.,”,',' Auriol was about t
"ut I will forego it,",”,',"' he said, offering "
"d of you, Mr. Da@ey,",”,',"' said Ebba. 'Oh, I "
" grievre to hear it,",”,',' ho rejoined. @I ho
ou had forgotten me.,”,',' @I am sure you did
"ou did not think so,",”,',' she cried. As she 
", if I could, Ebbas,",”,',' he replied; `` but
t us together again.,”,',"' @I am glad of it,'"
"'' @I am glad of it,",”,',' she repliei; '` be
our recent accident.,”,',"' @Be not deceived, "
" not deceived, Ebba,",”,',' cried Auriol. @I a
r window last night.,”,',' @What of him?'' de
ght.'' @What of him?,”,',"' demanded Ebba, wit"
"controls my destiny,",”,',' replied Auriol. @B
"d Ebba. @Much, much,",”,',"' he replied, with a"
" terrify me, Auriol,",”,',' sle rejoined. ITel
" as coming from you,",”,',"' she replied, blush"
I should be tempted.,”,',"' The dog-fancier, h"
as gentle as a l@mb.,”,',' e Oh l you little 
" faney to you, miss,",”,',' obserrel Ginger; `
l have her a bargin.,”,',' @What do you call 
"ve her to yo@, miss,",”,',' replied Ginger; ``
o' the likes o' you.,”,',' @I hope you lidn't
" much, t@en, friend,",”,',' repli@l E@@@. @I l
-an' hc'll tell you.,”,',' @But you hasen't a
"tle l@@y's question,",”,',' sni@ Auriol. @What
"f, sir, or for hor ?",”,',' inquired Ginger. e
"' A grcat deal, sir,",”,',' replied Ginger; @i
" young lady, twenty.",”,',' @@ut s@@@ose I bny
ean to buy the dog ?,”,',' interposed MIr@ Th
"pear so to yon, sir,",”,',"' said Ginger, '"" be"
" don't want to know,",”,',' re@liel Mr. Tuorno
"ly. @Eiglty guineas,",”,',' snid Ginger. @Eigh
 compared wi' Fairy.,”,',' @Stuff-stuff@@ ori
"@5G @It's no gammon,",”,',' said Ginger. `' Lo
e@r at twenty pound.,”,',' @She's a lovely li
"le creatare, iudeed,",”,',"' ret@rned Ebba, agc"
n' for-Auriol Darcy.,”,',' @It seems lilce hi
"@It seems lilce him,",”,',"' said the other, ed"
eetle more this @ay.,”,',"' @It's him, I tell "
"I tell you, S@ndman,",”,',' said tho Tinkecr. 
gnal to our comrade.,”,',"' e V@II, I@Il toell"
"you wot it is, miss,",”,',"' ssid Ginger, conxi"
arves a kind missns.,”,',"' Auriol, who had fa"
"ecio@s bargin it is,",”,',' replied Ginger. e 
"u. Here's the money,",”,',"' said Auriol, takin"
" no account, Auriol,",”,',"' cried Ebbs, quickl"
"too much, Mr. Darey,",”,',' said Thorneycroft.
"the look-out, I see.",”,',' @Give tho lady the
"tako the money, man,",”,',"' said Auriol, sharp"
"y. @Beg pardon, sir,",”,',"' said Ginger, '`but"
aecident in the @ay.,”,',' 'Accident l-stuff 
"r, and don't buy it.",”,',' l- TE CIARLEs TRE 
"bargain's concluded,",”,',"' said Ginger, delir"
"is treasure, Auriol?",”,',"' exclaimed Ebba, in"
"ay entertain for me,",”,',"' he replied, in a l"
"@That is impossible,",”,',' she answered. @Wel
" dri@e away at onco,",”,',' said Mr. Thorneyer
lowed by the rascal.,”,',"' Bo saying, he got "
". @Beg pasrdin, sir,",”,',"' said tho fellow, t"
"iol Darcy '' @It is,",”,',"' replied Auriol, re"
"ate-that's all, sir,",”,',' replied the Tinker
"have to say at once,",”,',' rejoined Auriol. 4
know nothing of you.,”,',' @You'll know me be
"tter by-and-by, sir,",”,',"' said the Tinker, i"
"k to you, and alone.",”,',' @If yon don't go a
"harge of the police,",”,',' eried Auriol. ----
", sir-no@ you von't,",”,',' repliod the Tinker
ome to my knowledge.,”,',"' @won't you get in,"
" speask to this man,",”,',' replied Anriol. @@
"hen, farewell, Ebba.",”,',"' And, ns the coach "
"@Step this vay, sir,",”,',' replied the Tinker
 into a back street.,”,',"' @@@@@vI@I @rE @ND,"
"ll leasrn presently,",”,',' replied tho Tinker
"n found, I tell you,",”,',' replied tho Tinkcr
're sartin to sving.,”,',' @I hope that prett
"'ll bny our silence,",”,',' replied th@ Tinker
"to ha@e double that,",”,',"' said tho Sandman, "
it murder wholesale.,”,',' e Ve don't commit 
"ommit murder at all,",”,',' said Ginger. @3ou 
"ger. @3ou may faney,",”,',' pnrsued the @inker
 are you inventing ?,”,',"' he said, at length"
"@It is no idle tale,",”,',' repliod thc Tinker
ct-a li@in' sitness.,”,',' @What witness?'' c
ss.'' @What witness?,”,',' cried Auriol. @Don
nt of his great age.,”,',' @@here is he l-wha
 has become of @im ?,”,',' demanded Auriol. @
"uce him in doo time,",”,',' replied the Tinker
er no traces of him.,”,',' @HIe@ll tarn up so
to mislest you more.,”,',' @The pocket-book m
"p to me if I assent,",”,',"' ssid Anriol, ' and"
dwarl mnst be found.,”,',"' @@y, as to that, I"
"an scarcely promise,",”,',' replied the T@nker
@s@@@ssured o' that.,”,',"' @I must hare it, o"
"get nothing from me,",”,',' cried Auriol. @Her
"rom the pocket-book,",”,',' said Ginger. t Wou
"@Give me that paper,",”,',"' eried Auriol, risi"
o do wi' the matter.,”,',' @Poh1 poh1 don't b
hree hundred pounds.,”,',' 4 You seek to frig
"me@in vain, villain,",”,',"' oried Auriol, upon"
shall overpower you.,”,',' @Don't proroko lim
" @Don't proroko lim,",”,',"' whispered Ginger, "
dn't take kis money.,”,',' And le quittcd the
"o matter wi' Ginger,",”,',"' said tho San@man, "
"myself to the de@il,",”,',' he said. And he fo
features. e ou lero?,”,',' cried Auriol. @Of 
" Auriol. @Of course,",”,',' replied the strang
 again this evening.,”,',"' e Perchance,'' rep"
"ning.'' e Perchance,",”,',' replied Auriol. TE
"F LODON. 4 Yon will,",”,',' rejoined the stran
" sncrifice the girl,",”,',' replied Auriol. @Y
"annot help yourself,",”,',' cried thoe strangc
 to bring her to me.,”,',' @I persist in my r
"rsist in my refusal,",”,',' replied Auriol. e 
"s to brare my power,",”,',' sail tho stranger.
"TiIl then, farewell.",”,',' And as the words w
"just been '' callel,",”,',' ordering his `firs
"ring his `first wig,",”,',' and you may hear t
"stinetion. @Ah, sir,",”,',"' ha will say, glanc"
well as a Christian.,”,',' 94 ACnIOL. And now
t@s that@ Who is it?,”,', eried 'rigge. @Prce
y dcar.-pretty lea@@,”,', reiterated the magp
"ng pretty about him,",”,',' thought MIr. Trigg
"lcrtisement, friend,",”,',' replied MIr. Trigg
e@@l are you abont ?,”,',"' 4 Yes I take care,"
" to a saucy witness,",”,',' cried ITrigge--' `
h a careless fcllow.,”,',' @Sarre him right 1
"t' @Beg pardon, sir,",”,',' cried Watts. @I@ll
ify you in@a minute.,”,',"' @Wcll, my little f"
"l, my little fricnd,",”,',"' observed Trigge, '"
"ITrigge. @On my own,",”,',' replied the little
"ing of the business,",”,',' replied the little
n than they are now.,”,',' ITIIE BARBER OP LO
"hit it exactly, sir,",”,',' replied the little
n Queen Anne's time.,”,',' @Perhaps you recol
"ITrigge. @Perfectly,",”,',' replied the little
s the Second's time.,”,',"' 4You saw 'em, of c"
" saw 'em, of course?",”,',"' eried the barber, "
"th a sneer. e I did,",”,',' replied the little
" be out of his mind,",”,',' eriel Trigge. 4 Ia
Rolls would observe.,”,',' @I hope I may suit
"I may suit you, sir,",”,',' said the little ma
"you will, my friend,",”,', replied Mr. Trigge;
"ag. @Precisely, Mag,",”,',' sai@ MIr. Irigge; 
ere Lord Chaneellor.,”,',"' @Well, @'m sorry f"
"l, @'m sorry for it,",”,',' said the little ma
"re, sir-that she is,",”,',' repliod the barber
a good deal for her.,”,',' ` Little or nothin
"ny names in my time,",”,',' he replied. `At on
Morse-Gregory Morse.,”,',' @An Old Bailey ans
"n Old Bailey answer,",”,',"' cried MIr. Trigge,"
"im nurrowly. @Sadly,",”,',' replied Morse. @We
"ll, then, follow me,",”,',' said the gentlaman
can be done for yon.,”,',' And they left the 
"ou were as week ago,",”,',"' said Ebba, playful"
hose gloomy fancies.,”,',' @I@will not indulg
"AURIOIL. sweet Ebba,",”,',' he replied. @But m
ulness this e@ening.,”,',' @I never felt so h
"never felt so happy,",”,',' she replied; ``aud
n her first quarter.,”,',' @The moon in her f
. @All then is o@er.,”,',' @What means this s
this sudden change ?,”,'," cried Ebba, frighte"
"is looks. @Oh, Ebba,",”,',"' he replied, ``I mn"
oo late to save you.,”,',"' e Oh no, do not le"
ile you are with me.,”,',' ee But you do not 
"fato I am linked to,",”,', he said. @Tlis is t
ill be accomplished.,”,',' @Your moody fancie
" to do, dear Auriol,",”,',"' she rejoined, '` b"
"s continuo our walk,",”,',"' she added, taking "
"s arm kindly. @Ebba,",”,',"' he cried, ` I impl"
y uuless you aid me.,”,',' LLLLLLLLLLLL rE oO
" 'm glad to hear it,",”,',"' she rejoined, '`' "
" fit will be passed,",”,',' she rejoined. @Let
k towards the abbey.,”,',' @It is in @ain to 
"ruggle against fate,",”,',"' ejaculated Auriol,"
"t beneath, no doubt,",”,',' replied Auriol. @B
"ter from tha street,",”,',' she replied. @You 
"hout reason, Auriol.",”,'," @No, not withont re"
" not withont reason,",”,',' he cried. ``I am i
red it is the truth.,”,',' @Beware 1'' cried 
"lt. @Some one spoke,",”,',' cried Ebba. ``I be
 us quit this place.,”,',' -p i -. . si . . 1
"RTER 103 Come, then,",”,',' eaid Auriol. t Not
"ol. t Not seo faist,",”,',' eried a deep voice
" Ebba, you are mine,",”,',' eried the stranger
s brought you to me.,”,',' @It is f@lseI' cri
ll yield her to you.,”,',' e Remember your co
"member your compact,",”,',' rejoined the stran
